S	I	R	q	free_birds
497746	2091	163	4	2087
497293	2508	199	14	2494
496739	3008	253	24	2985
496131	3548	321	39	3511
495438	4165	397	46	4122
494635	4891	474	70	4824
493653	5777	570	289	5493
492730	6584	686	558	6034
491663	7517	820	851	6690
490501	8509	990	1177	7380
489368	9481	1151	1555	7998
488144	10484	1372	2021	8570
486799	11626	1575	2465	9308
485468	12720	1812	2954	9958
484026	13923	2051	3495	10674
482513	15174	2313	4040	11441
480955	16430	2615	4620	12194
479353	17685	2962	5265	12890
477662	19011	3327	5891	13685
475953	20356	3691	6587	14439
474148	21796	4056	7303	15280
472227	23286	4487	8052	16148
470235	24804	4961	8833	17040
468183	26380	5437	9649	17942
466036	27996	5968	10473	18920
463906	29586	6508	11344	19815
461624	31305	7071	12270	20788
459233	33066	7701	13240	21790
456831	34812	8357	14226	22770
454369	36641	8990	15254	23774
451810	38478	9712	16289	24820
449225	40317	10458	17366	25843
446480	42223	11297	18534	26886
443643	44233	12124	19684	28041
440836	46168	12996	20878	29099
437891	48212	13897	22112	30232
434824	50264	14912	23346	31405
431748	52374	15878	24649	32582
428434	54668	16898	26045	33852
425221	56838	17941	27409	35017
421975	58865	19160	28834	36058
418674	60992	20334	30307	37139
415161	63324	21515	31774	38453
411570	65691	22739	33368	39714
407954	67963	24083	34916	40959
404302	70147	25551	36514	42156
400654	72404	26942	38132	43324
396823	74799	28378	39819	44592
392962	77139	29899	41550	45832
389016	79474	31510	43313	47068
385003	81870	33127	45121	48294
380979	84183	34838	46924	49514
376871	86614	36515	48790	50754
372672	89029	38299	50687	51979
368450	91441	40109	52587	53219
364184	93896	41920	54520	54504
359969	96251	43780	56488	55675
355619	98716	45665	58525	56904
351180	101163	47657	60558	58192
346703	103585	49712	62641	59404
342317	105887	51796	64776	60475
337997	108047	53956	66872	61501
333469	110465	56066	69053	62657
328993	112728	58279	71237	63703
324467	115025	60508	73492	64705
320032	117100	62868	75655	65642
315543	119230	65227	77810	66685
311020	121394	67586	80054	67607
306469	123572	69959	82277	68632
301923	125720	72357	84513	69610
297353	127799	74848	86743	70579
292786	129779	77435	88969	71468
288138	131885	79977	91248	72418
283595	133824	82581	93593	73198
279018	135709	85273	95928	73963
274452	137632	87916	98209	74816
269923	139507	90570	100486	75612
265337	141237	93426	102823	76314
260898	142805	96297	105151	76887
256493	144292	99215	107492	77332
252033	145918	102049	109870	77834
247674	147264	105062	112170	78325
243258	148664	108078	114453	78868
238925	150048	111027	116718	79366
234697	151214	114089	118964	79748
230468	152395	117137	121260	80076
226085	153691	120224	123517	80538
221884	154790	123326	125806	80800
217536	156016	126448	128045	81231
213272	157161	129567	130263	81636
