S	I	R	q	free_birds
497746	2091	163	4	2087
497293	2508	199	14	2494
496739	3008	253	24	2985
496131	3548	321	39	3511
495438	4165	397	46	4122
494635	4891	474	255	4639
493686	5744	570	898	4854
492831	6482	687	1549	4955
491922	7260	818	2173	5135
491003	8033	964	2856	5272
490080	8775	1145	3599	5329
489123	9543	1334	4375	5394
488137	10344	1519	5069	5578
487181	11079	1740	5826	5662
486197	11838	1965	6536	5832
485192	12586	2222	7254	5999
484157	13394	2449	8008	6183
483100	14197	2703	8756	6371
481969	15016	3015	9514	6594
480902	15775	3323	10272	6760
479655	16661	3684	11034	7091
478494	17496	4010	11808	7345
477298	18343	4359	12582	7617
476008	19280	4712	13371	7973
474709	20214	5077	14167	8315
473352	21150	5498	15040	8616
472006	22058	5936	15876	8951
470511	23105	6384	16696	9448
469028	24134	6838	17603	9846
467459	25231	7310	18464	10360
465795	26437	7768	19357	10939
464167	27540	8293	20297	11431
462415	28752	8833	21326	11935
460558	30045	9397	22365	12515
458693	31326	9981	23468	13047
456823	32514	10663	24599	13518
454871	33797	11332	25677	14124
452788	35233	11979	26824	14789
450660	36650	12690	28021	15439
448407	38195	13398	29222	16183
446123	39714	14163	30440	16945
443843	41149	15008	31658	17666
441305	42861	15834	32946	18570
438702	44615	16683	34283	19483
436142	46308	17550	35728	20211
433543	47969	18488	37201	20923
430852	49681	19467	38616	21777
428065	51541	20394	40187	22572
425192	53352	21456	41752	23408
422291	55180	22529	43324	24246
419336	57085	23579	44917	25146
416322	58954	24724	46541	26017
413281	60805	25914	48208	26859
410102	62736	27162	49920	27769
406922	64633	28445	51647	28656
403693	66572	29735	53432	29522
400341	68553	31106	55221	30497
396886	70667	32447	57056	31523
393469	72660	33871	58898	32476
389932	74781	35287	60753	33547
386348	76888	36764	62702	34518
382848	78833	38319	64714	35276
379254	80822	39924	66756	36132
375691	82757	41552	68760	36964
371972	84873	43155	70856	37855
368185	86962	44853	72951	38795
364372	89098	46530	74984	39870
360554	91169	48277	77063	40837
356577	93298	50125	79143	41908
352568	95448	51984	81350	42875
348518	97584	53898	83486	43945
344449	99692	55859	85670	44946
340336	101792	57872	87874	45935
336207	103806	59987	90150	46858
331971	105967	62062	92453	47843
327893	107952	64155	94726	48702
323668	110033	66299	97026	49665
319423	112182	68395	99379	50572
315181	114205	70614	101741	51465
310907	116244	72849	104135	52312
306685	118122	75193	106476	53149
302522	119937	77541	108863	53889
298186	121788	80026	111221	54731
293925	123591	82484	113608	55483
289599	125526	84875	116040	56345
285288	127263	87449	118442	57083
280884	129076	90040	120838	57938
276513	130925	92562	123278	58741
272225	132622	95153	125705	59458
267953	134325	97722	128147	60116
