S	I	R	q	free_birds
498160	1709	131	6	1703
497792	2044	164	11	2033
497293	2520	187	53	2467
496745	3021	234	297	2725
496175	3537	288	409	3140
495551	4102	347	425	3696
494852	4725	423	587	4162
494094	5397	509	1449	3986
493348	6035	617	2315	3780
492636	6629	735	3150	3585
491971	7173	856	3969	3365
491356	7654	990	4701	3180
490716	8129	1155	5372	3081
490139	8543	1318	6036	2937
489555	8963	1482	6675	2824
488975	9355	1670	7257	2773
488376	9767	1857	7817	2766
487839	10103	2058	8382	2673
487322	10430	2248	8891	2632
486757	10774	2469	9349	2695
486197	11115	2688	9844	2718
485616	11467	2917	10329	2759
485060	11786	3154	10786	2797
484486	12147	3367	11228	2877
483908	12476	3616	11714	2912
483301	12853	3846	12215	2961
482689	13208	4103	12694	3021
482131	13495	4374	13167	3051
481569	13793	4638	13681	3039
480950	14131	4919	14192	3079
480338	14466	5196	14692	3130
479688	14854	5458	15213	3201
479082	15173	5745	15696	3256
478507	15422	6071	16185	3277
477899	15723	6378	16675	3332
477288	16023	6689	17217	3329
476675	16360	6965	17753	3350
476049	16698	7253	18253	3423
475396	16991	7613	18744	3529
474743	17268	7989	19286	3564
474106	17563	8331	19822	3592
473503	17810	8687	20328	3616
472791	18173	9036	20865	3702
472096	18518	9386	21407	3784
471468	18773	9759	21975	3755
470803	19089	10108	22517	3816
470149	19337	10514	23055	3858
469461	19622	10917	23614	3903
468800	19926	11274	24167	3931
468109	20205	11686	24715	4007
467386	20496	12118	25228	4133
466709	20811	12480	25767	4183
466002	21102	12896	26335	4232
465301	21382	13317	26856	4339
464541	21704	13755	27402	4460
463748	22056	14196	28001	4566
462931	22428	14641	28614	4681
462138	22799	15063	29214	4773
461369	23094	15537	29836	4820
460522	23421	16057	30441	4951
459703	23755	16542	31024	5092
458849	24124	17027	31668	5185
458030	24423	17547	32273	5275
457175	24793	18032	32913	5385
456269	25201	18530	33522	5561
455400	25549	19051	34187	5657
454535	25936	19529	34860	5739
453613	26332	20055	35548	5864
452672	26760	20568	36224	6006
451739	27157	21104	36911	6125
450830	27492	21678	37587	6208
449893	27898	22209	38210	6416
448885	28347	22768	38902	6620
447817	28864	23319	39687	6770
446758	29327	23915	40437	6945
445714	29805	24481	41221	7078
444725	30166	25109	41967	7174
443704	30555	25741	42685	7322
442598	31019	26383	43445	7521
441542	31406	27052	44241	7616
440489	31821	27690	44952	7805
439399	32299	28302	45734	7979
438305	32801	28894	46519	8140
437132	33321	29547	47349	8324
435970	33860	30170	48140	8539
434800	34372	30828	48917	8784
433581	34859	31560	49717	9004
432409	35336	32255	50497	9217
431123	35924	32953	51377	9453
429777	36540	33683	52236	9744
