S	I	R	q	free_birds
497746	2091	163	4	2087
497295	2506	199	16	2490
496743	3004	253	294	2711
496183	3497	320	428	3073
495517	4097	386	454	3658
494806	4730	464	897	3860
494061	5390	549	1178	4252
493281	6065	654	2017	4118
492506	6713	781	2899	3924
491790	7283	927	3816	3638
491132	7797	1071	4591	3443
490424	8332	1244	5356	3310
489732	8845	1423	6069	3217
489059	9331	1610	6818	3072
488409	9805	1786	7484	2997
487749	10271	1980	8057	3018
487084	10731	2185	8625	3057
486405	11201	2394	9223	3083
485778	11604	2618	9843	3028
485125	12023	2852	10379	3075
484478	12442	3080	10940	3100
483749	12926	3325	11508	3201
483070	13318	3612	12149	3168
482384	13716	3900	12680	3251
481744	14085	4171	13215	3289
481095	14490	4415	13792	3302
480397	14893	4710	14401	3321
479688	15312	5000	14928	3446
479018	15659	5323	15497	3469
478333	16015	5652	16097	3487
477625	16380	5995	16672	3555
476896	16800	6304	17304	3593
476188	17161	6651	17901	3636
475469	17563	6968	18366	3824
474722	17986	7292	18868	3993
473935	18417	7648	19366	4193
473137	18843	8020	19865	4402
472313	19299	8388	20353	4652
471481	19735	8784	20885	4859
470520	20308	9172	21442	5160
469583	20844	9573	22036	5409
468562	21462	9976	22606	5762
467487	22125	10388	23230	6114
466397	22777	10826	23879	6436
465236	23515	11249	24564	6794
464021	24283	11696	25335	7098
462800	25064	12136	26040	7492
461541	25829	12630	26808	7831
460278	26572	13150	27630	8125
458951	27366	13683	28569	8343
457562	28223	14215	29513	8612
456145	29019	14836	30415	8927
454697	29890	15413	31301	9282
453132	30835	16033	32215	9731
451502	31857	16641	33199	10172
449853	32868	17279	34197	10612
448147	33949	17904	35224	11106
446367	35076	18557	36312	11593
444456	36305	19239	37451	12142
442504	37521	19975	38688	12603
440570	38725	20705	39901	13076
438551	39976	21473	41127	13598
436506	41224	22270	42353	14151
434412	42550	23038	43686	14646
432274	43837	23889	45010	15193
430071	45157	24772	46314	15789
427856	46480	25664	47715	16279
425503	47868	26629	49143	16866
423168	49250	27582	50563	17442
420778	50599	28623	52018	18014
418317	52010	29673	53567	18582
415868	53385	30747	55148	19054
413256	54898	31846	56670	19766
410672	56425	32903	58247	20380
408032	57971	33997	59874	21001
405318	59523	35159	61519	21665
402582	61073	36345	63130	22370
399770	62667	37563	64789	23078
396862	64335	38803	66515	23795
393925	66020	40055	68261	24526
390985	67606	41409	70074	25131
388050	69193	42757	71881	25759
384958	70900	44142	73691	26533
381966	72444	45590	75534	27153
378827	74092	47081	77422	27834
375700	75713	48587	79305	28524
372473	77406	50121	81154	29324
369162	79169	51669	83152	30050
365776	80943	53281	85071	30897
362461	82642	54897	86996	31664
