S	I	R	q	free_birds
497746	2091	163	4	2087
497295	2506	199	10	2496
496742	3005	253	62	2943
496142	3537	321	280	3260
495496	4107	397	378	3737
494763	4762	475	385	4390
493885	5542	573	581	4982
493031	6280	689	1515	4800
492177	7014	809	2435	4645
491308	7729	963	3326	4519
490520	8356	1124	4217	4325
489681	9020	1299	5124	4160
488816	9751	1433	5969	4115
488030	10332	1638	6796	3990
487229	10924	1847	7544	3971
486453	11465	2082	8257	3947
485655	12033	2312	8985	3930
484835	12618	2547	9663	3999
484038	13146	2816	10328	4057
483227	13695	3078	10982	4130
482420	14219	3361	11601	4238
481618	14736	3646	12261	4301
480785	15273	3942	12951	4360
479964	15791	4245	13598	4445
479153	16271	4576	14260	4495
478302	16772	4926	14913	4587
477455	17256	5289	15537	4713
476537	17833	5630	16178	4896
475660	18391	5949	16845	5034
474753	18947	6300	17483	5207
473820	19496	6684	18137	5385
472801	20089	7110	18869	5560
471808	20687	7505	19584	5741
470782	21307	7911	20295	5937
469743	21924	8333	21014	6137
468633	22566	8801	21752	6365
467522	23214	9264	22564	6531
466396	23878	9726	23395	6682
465254	24557	10189	24185	6885
464059	25252	10689	24962	7165
462834	25950	11216	25778	7434
461595	26688	11717	26643	7680
460322	27447	12231	27479	7973
458990	28258	12752	28346	8261
457642	29039	13319	29250	8549
456261	29826	13913	30213	8807
454842	30674	14484	31132	9130
453388	31540	15072	32057	9492
451946	32370	15684	33013	9781
450463	33165	16372	33992	10064
448954	34023	17023	35006	10355
447400	34901	17699	35994	10725
445827	35779	18394	37042	11013
444201	36685	19114	38042	11398
442543	37635	19822	39066	11793
440782	38606	20612	40128	12248
438967	39639	21394	41190	12773
437149	40681	22170	42278	13255
435270	41771	22959	43412	13728
433346	42893	23761	44582	14209
431329	44040	24631	45824	14687
429273	45233	25494	47071	15216
427127	46445	26428	48302	15814
424915	47742	27343	49592	16440
422756	48976	28268	50890	17003
420535	50198	29267	52243	17565
418232	51540	30228	53597	18186
415836	52952	31212	54992	18858
413346	54376	32278	56422	19504
410797	55835	33368	57817	20269
408269	57304	34427	59269	20945
405618	58801	35581	60769	21654
402963	60253	36784	62304	22338
400224	61768	38008	63840	23079
397367	63372	39261	65434	23880
394450	65018	40532	67044	24703
391550	66624	41826	68726	25432
388532	68287	43181	70403	26262
385395	70077	44528	72114	27150
382293	71802	45905	73911	27918
379089	73565	47346	75708	28778
375762	75417	48821	77573	29661
372436	77244	50320	79455	30552
369029	79088	51883	81363	31454
365539	80951	53510	83248	32407
361942	82946	55112	85193	33423
358347	84908	56745	87189	34380
354585	87036	58379	89209	35463
350874	89032	60094	91275	36388
347058	91059	61883	93361	37423
