S	I	R	q	free_birds
498124	1747	129	7	1740
497729	2112	159	18	2094
497277	2513	210	243	2271
496743	2997	260	311	2689
496232	3443	325	428	3022
495635	3971	394	467	3520
494983	4535	482	894	3669
494266	5175	559	1684	3528
493645	5707	648	2580	3194
493035	6217	748	3415	2911
492478	6637	885	4152	2659
491918	7063	1019	4802	2509
491396	7469	1135	5399	2396
490862	7867	1271	5987	2304
490371	8220	1409	6538	2195
489905	8526	1569	7002	2144
489437	8826	1737	7484	2090
488967	9125	1908	7959	2050
488539	9376	2085	8402	1997
488113	9622	2265	8842	1934
487716	9832	2452	9255	1867
487322	10025	2653	9681	1790
486936	10228	2836	10123	1691
486584	10396	3020	10529	1600
486262	10523	3215	10892	1532
485949	10628	3423	11197	1503
485648	10729	3623	11541	1436
485336	10850	3814	11834	1432
485011	10968	4021	12136	1425
484731	11037	4232	12479	1337
484437	11110	4453	12801	1294
484172	11148	4680	13133	1199
483931	11173	4896	13420	1122
483691	11175	5134	13690	1070
483467	11159	5374	13947	1010
483242	11161	5597	14157	1007
483021	11144	5835	14323	1038
482803	11138	6059	14457	1104
482587	11144	6269	14632	1125
482359	11147	6494	14781	1181
482124	11149	6727	14979	1189
481849	11222	6929	15145	1275
481596	11265	7139	15302	1350
481336	11266	7398	15510	1376
481040	11361	7599	15700	1457
480767	11400	7833	15932	1461
480457	11512	8031	16155	1520
480171	11552	8277	16456	1468
479889	11593	8518	16759	1412
479606	11649	8745	17021	1399
479335	11718	8947	17325	1348
479053	11778	9169	17655	1275
478807	11800	9393	17896	1259
478540	11843	9617	18129	1264
478267	11886	9847	18391	1251
478002	11902	10096	18652	1231
477744	11934	10322	18978	1138
477524	11881	10595	19262	1051
477267	11877	10856	19498	1053
477061	11854	11085	19732	1008
476845	11844	11311	19965	974
476662	11786	11552	20154	953
476460	11722	11818	20389	894
476287	11651	12062	20648	785
476116	11580	12304	20847	746
475927	11548	12525	21015	758
475761	11482	12757	21195	723
475597	11393	13010	21355	706
475467	11315	13218	21512	667
475324	11221	13455	21693	613
475185	11149	13666	21855	580
475055	11062	13883	22011	538
474936	10935	14129	22164	495
474816	10845	14339	22299	462
474717	10732	14551	22426	427
474625	10614	14761	22523	418
474537	10536	14927	22659	367
474449	10397	15154	22780	323
474377	10270	15353	22864	305
474327	10096	15577	22973	241
474284	9931	15785	23047	203
474234	9784	15982	23133	165
474192	9637	16171	23182	154
474152	9502	16346	23252	121
474123	9344	16533	23300	98
474107	9174	16719	23334	78
474088	9002	16910	23384	46
474080	8825	17095	23406	32
474078	8649	17273	23416	24
474074	8451	17475	23417	26
