S	I	R	q	free_birds
498160	1709	131	6	1703
497792	2044	164	13	2031
497295	2518	187	20	2498
496737	3029	234	27	3002
496113	3598	289	36	3563
495404	4252	344	43	4210
494581	4989	430	225	4766
493662	5805	533	463	5348
492769	6574	657	744	5844
491775	7440	785	1049	6414
490703	8351	946	1382	7005
489551	9335	1114	1772	7629
488426	10249	1325	2193	8161
487198	11251	1551	2621	8790
485906	12292	1802	3078	9427
484511	13441	2048	3589	10115
483041	14638	2321	4128	10841
481586	15797	2617	4671	11528
480132	16943	2925	5252	12175
478580	18173	3247	5855	12907
477007	19383	3610	6517	13569
475285	20686	4029	7211	14288
473601	21930	4469	7916	14946
471800	23218	4982	8608	15694
469964	24584	5452	9336	16493
468031	26030	5939	10085	17344
466111	27426	6463	10898	18095
464042	28937	7021	11701	18989
462024	30362	7614	12570	19739
459923	31847	8230	13454	20571
457707	33430	8863	14373	21462
455429	35018	9553	15296	22386
453076	36724	10200	16286	23329
450627	38411	10962	17256	24332
448129	40165	11706	18281	25344
445498	41970	12532	19350	26384
442854	43773	13373	20441	27414
440178	45580	14242	21590	28387
437493	47365	15142	22789	29292
434645	49269	16086	23987	30372
431697	51186	17117	25256	31438
428756	53113	18131	26542	32470
425694	55140	19166	27822	33619
422513	57210	20277	29136	34809
419277	59352	21371	30522	35986
415901	61559	22540	31978	37181
412495	63750	23755	33416	38410
409121	65827	25052	34902	39504
405633	68002	26365	36426	40676
402060	70206	27734	38001	41858
398554	72394	29052	39618	42962
394915	74542	30543	41272	44069
391310	76680	32010	42932	45153
387554	78875	33571	44640	46296
383923	80875	35202	46381	47244
380122	83045	36833	48121	48377
376360	85111	38529	49885	49369
372569	87220	40211	51672	50404
368730	89300	41970	53512	51390
364837	91475	43688	55289	52467
360930	93561	45509	57158	53452
356849	95754	47397	59003	54608
352897	97839	49264	60867	55577
348837	99880	51283	62799	56536
344734	102010	53256	64705	57602
340670	104090	55240	66641	58585
336688	105998	57314	68656	59350
332546	107982	59472	70626	60356
328443	109841	61716	72659	61183
324173	111890	63937	74720	62161
319813	114042	66145	76747	63278
315615	116016	68369	78731	64248
311319	117990	70691	80823	65167
307073	119813	73114	82870	65999
302870	121649	75481	85020	66745
298649	123428	77923	87175	67451
294341	125316	80343	89282	68349
290159	127093	82748	91451	69052
285925	128831	85244	93602	69781
281734	130487	87779	95720	70499
277467	132122	90411	97873	71210
273237	133682	93081	100065	71804
268939	135274	95787	102175	72493
264765	136710	98525	104335	73036
260598	138129	101273	106462	73634
256534	139456	104010	108618	74059
252346	140896	106758	110770	74638
248154	142319	109527	112951	75195
244006	143642	112352	115128	75687
239912	144895	115193	117247	76123
